feature_column,r_count,s_count,total_count,r_prevalence,s_prevalence,prevalence_gap,abs_gap,Element symbol,Element name,Type,Subtype,Class,Subclass,Scope,display_label
feat_blaCMY_2,0,4,4,0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,blaCMY-2,extended-spectrum class C beta-lactamase CMY-2,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,core,blaCMY-2
feat_dfrA12,5,2,7,0.38461538461538464,0.16666666666666666,0.21794871794871798,0.21794871794871798,dfrA12,trimethoprim-resistant dihydrofolate reductase DfrA12,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,core,dfrA12
feat_aadA2,5,2,7,0.38461538461538464,0.16666666666666666,0.21794871794871798,0.21794871794871798,aadA2,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,core,aadA2
feat_qnrS1,3,0,3,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,qnrS1,quinolone resistance pentapeptide repeat protein QnrS1,AMR,AMR,QUINOLONE,QUINOLONE,core,qnrS1
feat_parE_S458A,3,0,3,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,parE_S458A,Escherichia quinolone resistant ParE,AMR,POINT,QUINOLONE,QUINOLONE,core,parE_S458A
feat_aadA1,6,2,8,0.46153846153846156,0.16666666666666666,0.29487179487179493,0.29487179487179493,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,core,aadA1
feat_ble,5,1,6,0.38461538461538464,0.08333333333333333,0.3012820512820513,0.3012820512820513,ble,bleomycin binding protein Ble-MBL,AMR,AMR,BLEOMYCIN,BLEOMYCIN,core,ble
feat_cmlA1,4,0,4,0.3076923076923077,0.0,0.3076923076923077,0.3076923076923077,cmlA1,chloramphenicol efflux MFS transporter CmlA1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,core,cmlA1
feat_ftsI_N337NYRIN,5,0,5,0.38461538461538464,0.0,0.38461538461538464,0.38461538461538464,ftsI_N337NYRIN,Escherichia aztreonam/cefiderocol/cephalosporin resistant FtsI,AMR,POINT,BETA-LACTAM,AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN,core,ftsI_N337NYRIN
feat_gyrA_S83L,9,1,10,0.6923076923076923,0.08333333333333333,0.6089743589743589,0.6089743589743589,gyrA_S83L,Escherichia quinolone resistant GyrA,AMR,POINT,QUINOLONE,QUINOLONE,core,gyrA_S83L
feat_parC_S80I,9,0,9,0.6923076923076923,0.0,0.6923076923076923,0.6923076923076923,parC_S80I,Escherichia quinolone resistant ParC,AMR,POINT,QUINOLONE,QUINOLONE,core,parC_S80I
feat_gyrA_D87N,9,0,9,0.6923076923076923,0.0,0.6923076923076923,0.6923076923076923,gyrA_D87N,Escherichia quinolone resistant GyrA,AMR,POINT,QUINOLONE,QUINOLONE,core,gyrA_D87N
