model,accuracy,precision,recall,f1_score,roc_auc,split
logistic_regression,0.98,0.9818181818181818,0.9473684210526316,0.9642857142857144,0.9895718316770948,Random isolate split
random_forest,0.98,0.9818181818181818,0.9473684210526316,0.9642857142857144,0.9896945160103054,Random isolate split
xgboost,0.98,0.9818181818181818,0.9473684210526316,0.9642857142857144,0.9895718316770948,Random isolate split
stacking_ensemble,0.98,0.9818181818181818,0.9473684210526316,0.9642857142857144,0.989817200343516,Random isolate split
voting_ensemble,0.98,0.9818181818181818,0.9473684210526316,0.9642857142857144,0.9896331738437,Random isolate split
logistic_regression,0.9567901234567902,0.976,0.9682539682539684,0.9721115537848606,0.9485229276895945,BioProject holdout
random_forest,0.9567901234567902,0.983739837398374,0.9603174603174603,0.9718875502008032,0.9517195767195769,BioProject holdout
xgboost,0.9567901234567902,0.976,0.9682539682539684,0.9721115537848606,0.9325396825396826,BioProject holdout
stacking_ensemble,0.9567901234567902,0.976,0.9682539682539684,0.9721115537848606,0.9441137566137566,BioProject holdout
voting_ensemble,0.9567901234567902,0.976,0.9682539682539684,0.9721115537848606,0.9463183421516754,BioProject holdout
