held_out_bioproject,train_n,test_n,test_r,test_s,model,accuracy,precision,recall,f1_score,roc_auc
PRJNA224116,659,341,149,192,logistic_regression,0.8797653958944281,0.8253012048192772,0.9194630872483222,0.8698412698412699,0.9534046420581656
PRJNA224116,659,341,149,192,random_forest,0.9530791788856305,0.9854014598540146,0.9060402684563759,0.9440559440559441,0.9595392897091722
PRJNA224116,659,341,149,192,xgboost,0.8826979472140762,0.8343558282208589,0.912751677852349,0.8717948717948718,0.952163730425056
PRJNA278886,838,162,126,36,logistic_regression,0.9506172839506173,0.9758064516129032,0.9603174603174603,0.968,0.9456569664902998
PRJNA278886,838,162,126,36,random_forest,0.9567901234567902,0.976,0.9682539682539683,0.9721115537848606,0.9559082892416226
PRJNA278886,838,162,126,36,xgboost,0.9320987654320988,0.9389312977099237,0.9761904761904762,0.9571984435797666,0.9325396825396826
PRJNA292663,702,298,7,291,logistic_regression,0.9798657718120806,1.0,0.14285714285714285,0.25,0.8576337751595484
PRJNA292663,702,298,7,291,random_forest,0.9798657718120806,1.0,0.14285714285714285,0.25,0.8541973490427098
PRJNA292663,702,298,7,291,xgboost,0.9798657718120806,1.0,0.14285714285714285,0.25,0.28424153166421207
PRJNA662792,848,152,1,151,logistic_regression,0.993421052631579,0.0,0.0,0.0,0.48344370860927155
PRJNA662792,848,152,1,151,random_forest,0.993421052631579,0.0,0.0,0.0,0.49337748344370863
PRJNA662792,848,152,1,151,xgboost,0.993421052631579,0.0,0.0,0.0,0.5
